Year,Month,site,pH
2012,9,ARQ,8.030444444444443
2012,9,MKO,7.9952407407407415
2012,10,ARQ,8.024163677861102
2012,10,MKO,7.903603082851638
2012,11,ARQ,8.053546296296297
2012,12,ARQ,8.044955197132616
2013,10,ARQ,8.05972706155633
2013,11,ARQ,8.050930555555555
2013,12,ARQ,8.033472222222223
2014,9,ARQ,7.995032932971717
2014,9,MKO,8.001182071528099
2014,10,ARQ,8.014483164586768
2014,10,MKO,7.983023685019994
2014,11,ARQ,8.03597147950089
2014,11,MKO,8.046195207481004
2014,12,MKO,8.06554435483871
2015,9,MKO,7.9696980255516845
2015,10,MKO,8.009625476564251
2015,11,MKO,8.037254402224281
2015,12,MKO,8.058068996415772
2016,9,ARQ,8.020293981481482
2016,9,CPR,7.580254372019077
2016,9,MKO,7.991008039579468
2016,9,NPR,7.960236220472441
2016,10,ARQ,8.017107804750719
2016,10,CPR,7.592409395973155
2016,10,NPR,7.947948369565217
2016,11,CPR,7.705408234473134
2016,11,MKO,7.93587358684481
2016,11,NPR,7.835280276816609
2016,12,ARQ,8.029512195121951
2016,12,CPR,7.489777601270849
2016,12,MKO,7.918055555555555
2016,12,NPR,7.450082781456954
2017,9,MKO,8.035819735819736
2017,9,NPR,7.812479166666666
2017,10,ARQ,7.937626397019691
2017,10,MKO,7.988844086021505
2017,10,NPR,7.861760752688172
2017,11,ARQ,7.8942453703703706
2017,11,MKO,7.988402777777777
2017,11,NPR,7.912229166666667
2017,12,ARQ,7.9433870967741935
2017,12,MKO,8.033808397397989
2017,12,NPR,7.987598284488921
2018,9,ARQ,7.943509513742072
2018,9,CPR,8.076511627906976
2018,9,MKO,7.989520833333334
2018,9,NPR,8.076972222222222
2018,10,ARQ,7.922083333333333
2018,10,CPR,7.877181899641577
2018,10,MKO,8.190835016835017
2018,10,NPR,8.081296928327646
2018,11,ARQ,7.989904534606205
2018,11,CPR,7.931574074074074
2018,11,MKO,8.000083333333334
2018,11,NPR,8.00088888888889
2018,12,ARQ,8.029099746407438
2018,12,CPR,7.893396057347671
2018,12,MKO,7.984269713261648
2018,12,NPR,8.029885752688173
2019,9,ARQ,8.01288959390863
2019,9,CPR,7.970958333333334
2019,9,MKO,8.010451388888889
2019,9,NPR,8.014194444444446
2019,10,ARQ,8.001500589622642
2019,10,CPR,7.795823863636363
2019,10,MKO,8.00398918918919
2019,10,NPR,7.918666666666667
2019,11,ARQ,7.806379629629629
2019,11,MKO,8.005586805555556
2019,12,ARQ,7.422381272401434
2019,12,MKO,8.015682798275035
2020,9,ARQ,8.063038194444443
2020,9,MKO,8.062347222222222
2020,10,ARQ,8.074883512544803
2020,10,MKO,8.000607078853047
2020,11,ARQ,8.02942781979612
2020,11,MKO,7.958349537037037
2020,12,ARQ,8.02383064516129
2020,12,MKO,7.939735652959782
2021,9,ARQ,8.192985074626867
2021,10,ARQ,7.948375896057349
2021,11,ARQ,7.920724537037037
2021,12,ARQ,7.814124103942652
2022,9,ARQ,8.093101851851852
2022,9,MKO,7.955623599701269
2022,10,ARQ,8.116433691756272
2022,11,ARQ,8.005803738317756
2022,12,ARQ,7.95100806451613
