year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint,,,
1984,1,0,0,0,476,,,
1984,2,592,5,476,476,,,
1984,3,0,0,0,476,,,
1984,4,329,6,476,476,,,
1984,5,747,8,476,476,,,
1985,1,225,2,476,476,,,
1985,2,4824,9,464,476,,,
1985,3,171,1,476,476,,,
1985,4,4263,15,476,476,,,
1985,5,8997,23,476,476,,,
1986,1,3203,28,476,476,,,
1986,2,6771,46,476,476,,,
1986,3,1141,20,476,476,,,
1986,4,558,7,476,476,,,
1986,5,7543,53,476,476,,,
1987,1,3389,40,476,476,,,
1987,2,3213,9,475,476,,,
1987,3,4400,29,476,476,,,
1987,4,1467,23,476,476,,,
1987,5,7953,66,476,476,,,
1988,1,0,0,476,476,,,
1988,2,0,0,476,476,,,
1988,3,99,1,471,476,,,
1988,4,13964,100,476,476,,,
1988,5,13964,100,476,476,,,
1989,1,48556,242,476,476,,,
1989,2,13690,76,474,476,,,
1989,3,359,6,476,476,,,
1989,4,17787,196,476,476,,,
1989,5,53102,278,476,476,,,
1990,1,30110,225,476,476,,,
1990,2,56003,248,476,476,,,
1990,3,1161,5,475,476,,,
1990,4,0,0,212,476,,,
1990,5,57978,270,476,476,,,
1991,1,0,0,0,476,,,
1991,2,57955,182,476,476,,,
1991,3,1242,7,476,476,,,
1991,4,15435,73,476,476,,,
1991,5,60178,187,476,476,,,
1992,1,0,0,1,476,,,
1992,2,16477,107,476,476,,,
1992,3,0,0,476,476,,,
1992,4,1603,31,476,476,,,
1992,5,17278,123,476,476,,,
1993,1,5625,30,476,476,,,
1993,2,4707,85,476,476,,,
1993,3,0,0,476,476,,,
1993,4,0,0,476,476,,,
1993,5,8881,93,476,476,,,
1994,1,1872,13,476,476,,,
1994,2,38310,181,476,476,,,
1994,3,1126,5,471,476,,,
1994,4,12628,116,476,476,,,
1994,5,40682,197,476,476,,,
1995,1,17100,83,476,476,,,
1995,2,10664,96,476,476,,,
1995,3,0,0,475,476,,,
1995,4,0,0,476,476,,,
1995,5,19615,108,476,476,,,
1996,1,0,0,418,476,,,
1996,2,628,8,476,476,,,
1996,3,1542,8,476,476,,,
1996,4,2434,16,476,476,,,
1996,5,3752,24,476,476,,,
1997,1,3872,46,476,476,,,
1997,2,11654,46,476,476,,,
1997,3,185,2,476,476,,,
1997,4,0,0,476,476,,,
1997,5,12818,61,476,476,,,
1998,1,0,0,476,476,,,
1998,2,0,0,476,476,,,
1998,3,0,0,476,476,,,
1998,4,0,0,476,476,,,
1998,5,0,0,476,476,,,
1999,1,1751,14,476,476,,,
1999,2,8399,24,469,476,,,
1999,3,3171,14,476,476,,,
1999,4,1510,23,476,476,,,
1999,5,8552,29,476,476,,,
2000,1,1533,21,476,476,,,
2000,2,1929,22,476,476,,,
2000,3,1138,12,476,476,,,
2000,4,6118,46,476,476,,,
2000,5,6939,55,476,476,,,
2001,1,1813,24,476,476,,,
2001,2,478,10,476,476,,,
2001,3,0,0,476,476,,,
2001,4,1787,26,476,476,,,
2001,5,2286,30,476,476,,,
2002,1,2647,26,476,476,,,
2002,2,25705,79,476,476,,,
2002,3,21354,64,476,476,,,
2002,4,10034,75,476,476,,,
2002,5,26740,83,476,476,,,
2003,1,295,9,476,476,,,
2003,2,3173,38,476,476,,,
2003,3,2717,21,476,476,,,
2003,4,11705,101,476,476,,,
2003,5,14039,116,476,476,,,
2004,1,4678,86,476,476,,,
2004,2,0,0,476,476,,,
2004,3,1952,13,476,476,,,
2004,4,1481,25,476,476,,,
2004,5,6586,97,476,476,,,
2005,1,0,0,476,476,,,
2005,2,871,18,476,476,,,
2005,3,887,6,476,476,,,
2005,4,2336,31,476,476,,,
2005,5,2659,34,476,476,,,
2006,1,75,3,476,476,,,
2006,2,1059,7,472,476,,,
2006,3,2200,13,476,476,,,
2006,4,1727,19,476,476,,,
2006,5,2594,20,476,476,,,
2007,1,4479,56,476,476,,,
2007,2,38083,219,476,476,,,
2007,3,6754,75,476,476,,,
2007,4,11626,114,476,476,,,
2007,5,41880,235,476,476,,,
2008,1,444,8,476,476,,,
2008,2,2328,18,476,476,,,
2008,3,2795,14,476,476,,,
2008,4,2794,31,476,476,,,
2008,5,4266,41,476,476,,,
2009,1,36166,333,476,476,,,
2009,2,64047,327,476,476,,,
2009,3,17161,269,476,476,,,
2009,4,5298,126,476,476,,,
2009,5,67485,387,476,476,,,
2010,1,1097,23,476,476,,,
2010,2,495,12,476,476,,,
2010,3,7176,50,476,476,,,
2010,4,2790,48,476,476,,,
2010,5,10145,104,476,476,,,
2011,1,4163,72,476,476,,,
2011,2,2226,21,476,476,,,
2011,3,5346,62,476,476,,,
2011,4,1901,28,476,476,,,
2011,5,9075,114,476,476,,,
2012,1,10720,123,476,476,,,
2012,2,23966,154,476,476,,,
2012,3,11253,93,476,476,,,
2012,4,3935,57,476,476,,,
2012,5,26841,183,476,476,,,
2013,1,33853,203,476,476,,,
2013,2,33700,251,476,476,,,
2013,3,12776,126,476,476,,,
2013,4,17849,222,476,476,,,
2013,5,47164,305,476,476,,,
2014,1,13791,131,476,476,,,
2014,2,7634,94,476,476,,,
2014,3,132,2,476,476,,,
2014,4,27,1,476,476,,,
2014,5,17760,163,476,476,,,
2015,1,489,17,476,476,,,
2015,2,1129,16,476,476,,,
2015,3,643,13,476,476,,,
2015,4,0,0,476,476,,,
2015,5,1756,35,476,476,,,
2016,1,0,0,476,476,,,
2016,2,0,0,476,476,,,
2016,3,0,0,476,476,,,
2016,4,1582,22,476,476,,,
2016,5,1582,22,476,476,,,
2017,1,1980,14,476,476,,,
2017,2,2829,16,476,476,,,
2017,3,3208,11,476,476,,,
2017,4,20781,183,476,476,,,
2017,5,24029,190,476,476,,,
2018,1,2464,45,476,476,,,
2018,2,23112,109,476,476,,,
2018,3,3744,31,476,476,,,
2018,4,0,0,476,476,,,
2018,5,23160,112,476,476,,,
2019,1,0,0,476,476,,,
2019,2,0,0,476,476,,,
2019,3,0,0,476,476,,,
2019,4,466,11,476,476,,,
2019,5,466,11,476,476,,,
2020,1,3512,15,476,476,,,
2020,2,6957,19,476,476,,,
2020,3,10539,23,476,476,,,
2020,4,1472,15,476,476,,,
2020,5,10785,27,476,476,,,
2021,1,3716,32,476,476,,,
2021,2,10830,45,476,476,,,
2021,3,1985,17,476,476,,,
2021,4,1309,21,476,476,,,
2021,5,11338,55,476,476,,,
2022,1,2005,18,476,476,,,
2022,2,5624,26,476,476,,,
2022,3,2585,13,476,476,,,
2022,4,1432,17,476,476,,,
2022,5,5861,33,476,476,,,
2023,1,0,0,476,476,,,
2023,2,72,3,476,476,,,
2023,3,85,2,476,476,,,
2023,4,2619,15,476,476,,,
2023,5,2639,16,476,476,,,
2024,1,224,10,476,476,,,
2024,2,9484,33,476,476,,,
2024,3,14789,54,476,476,,,
